"","eventid","riskscore"
"1",199801010001,9.826305782
"2",199801010002,9.000732512
"3",199801010003,9.01273886
"4",199801020001,10
"5",199801020002,4.00024417
"6",199801040001,12.5
"7",199801040002,12.5
"8",199801050001,4
"9",199801050002,13.00024417
"10",199801050003,12.67883228
"11",199801050004,13.21386414
"12",199801060001,6.66609344
"13",199801060002,13
"14",199801060003,12
"15",199801060004,12
"16",199801070001,4
"17",199801080001,12.5
"18",199801080002,12.5
"19",199801090001,9.01273886
"20",199801090002,10.010743498
"21",199801100001,12.332705528
"22",199801100002,9.0254777
"23",199801100003,8.0254777
"24",199801110001,10
"25",199801110002,9.51273886
"26",199801110003,9.81847134
"27",199801110004,13
"28",199801110005,15.5477707
"29",199801120001,13
"30",199801120002,13
"31",199801120003,13
"32",199801130001,9
"33",199801130002,8.0254777
"34",199801130003,9.001220852
"35",199801140001,9
"36",199801140002,10.015180564
"37",199801150001,10
"38",199801170001,8.410573366
"39",199801170002,10
"40",199801170003,10
"41",199801170004,9
"42",199801180001,9.013471372
"43",199801180002,9.01273886
"44",199801190001,13
"45",199801190002,9.00024417
"46",199801190003,13
"47",199801200001,9.01835478
"48",199801200002,9.03821656
"49",199801200003,9.1910828
"50",199801200004,8
"51",199801200005,9.01273886
"52",199801210001,9.01273886
"53",199801210002,12
"54",199801210003,12
"55",199801210004,12
"56",199801210005,13.0254777
"57",199801210006,13
"58",199801220001,9.168535146
"59",199801230001,9.0254777
"60",199801230002,9.01273886
"61",199801240001,9.01273886
"62",199801240002,9.000732512
"63",199801240003,9.03821656
"64",199801250001,13.003662556
"65",199801250002,10.169267656
"66",199801250003,9.039437412
"67",199801250004,13.013471372
"68",199801250005,10.29299364
"69",199801250006,9
"70",199801250007,16
"71",199801250008,9.255753762
"72",199801260001,10.3312102
"73",199801260002,8
"74",199801270001,16
"75",199801280001,9.206507534
"76",199801280002,9.1656051
"77",199801280003,9.11464968
"78",199801280004,9.15286624
"79",199801280005,4
"80",199801290001,9.0254777
"81",199801290002,10.01298303
"82",199801310001,9
"83",199802010001,10.07643312
"84",199802020001,8.077898142
"85",199802020002,10.00024417
"86",199802030001,10.00048834
"87",199802040001,9.06369426
"88",199802040002,12.001495328
"89",199802040003,9.500976682
"90",199802050001,8.00024417
"91",199802050002,9.11464968
"92",199802050003,10
"93",199802060001,9.01273886
"94",199802060002,9.118312236
"95",199802060003,9
"96",199802060004,10.015180564
"97",199802060005,9.08917198
"98",199802070001,9.014448054
"99",199802070002,9.02572187
"100",199802070003,10.00048834
"101",199802070004,10.026454382
"102",199802080001,9
"103",199802090001,4.0254777
"104",199802100001,9.01298303
"105",199802100002,9.01273886
"106",199802100003,9.03821656
"107",199802110001,9.01273886
"108",199802120001,9.032314472
"109",199802120002,8.32970318
"110",199802120003,8.00024417
"111",199802120004,10
"112",199802120005,4
"113",199802130001,4
"114",199802130002,13
"115",199802130003,13
"116",199802140001,10.63694268
"117",199802140002,9.00048834
"118",199802140004,12.07643312
"119",199802150001,8.28285668
"120",199802150002,8.40764332
"121",199802150003,8.14012738
"122",199802150004,8.05095542
"123",199802150005,13.040414094
"124",199802150006,13.040414094
"125",199802150007,13.040414094
"126",199802150008,13.040414094
"127",199802150009,13.040169924
"128",199802150010,13.040169924
"129",199802150011,13.040169924
"130",199802150012,13.040169924
"131",199802150013,13.040169924
"132",199802150014,13.040169924
"133",199802150015,13.040169924
"134",199802150016,13.040169924
"135",199802150017,9.014692224
"136",199802150018,12.001869158
"137",199802150019,9.00024417
"138",199802180001,9.065403454
"139",199802190001,9.002441704
"140",199802190002,9.0254777
"141",199802190003,10
"142",199802200001,10.002685874
"143",199802200002,12.029963682
"144",199802200003,12.003738318
"145",199802200004,9
"146",199802210001,8.24203822
"147",199802210002,8.0254777
"148",199802210003,4
"149",199802210004,10
"150",199802210005,10.23540362
"151",199802210006,10
"152",199802220001,10
"153",199802220002,9.10191082
"154",199802230001,9.05095542
"155",199802230002,9.68789808
"156",199802230003,9
"157",199802240001,10
"158",199802240002,12.005607476
"159",199802250001,8.05095542
"160",199802250002,9.000976682
"161",199802250003,9.013715542
"162",199802250004,4
"163",199802250005,10.003174216
"164",199802260001,10.130562756
"165",199802260002,8.47133758
"166",199802260003,8.05095542
"167",199802260004,10.058280532
"168",199802270001,13.026698552
"169",199802270002,13.015913076
"170",199802270003,12.52596604
"171",199802270004,10.067600986
"172",199802270005,8.039193242
"173",199802270006,9.0132272
"174",199802270007,8.001953364
"175",199802280001,13.053885466
"176",199802280002,13.053641294
"177",199802280003,9
"178",199803010001,9.25526542
"179",199803030001,9.02596604
"180",199803030002,13
"181",199803030003,13
"182",199803030004,9.02596604
"183",199803030005,13
"184",199803030006,13
"185",199803040001,10.000732512
"186",199803050001,9.00024417
"187",199803050002,10.00048834
"188",199803050003,17.534821892
"189",199803050004,12.115870532
"190",199803050005,9.51298303
"191",199803070001,10.001220852
"192",199803070002,10.06369426
"193",199803070003,10.002930046
"194",199803090001,10.028407746
"195",199803090002,10.084734914
"196",199803090003,10.083758232
"197",199803090004,10.039437412
"198",199803100001,10
"199",199803110001,9.052176272
"200",199803110002,9.05095542
"201",199803110003,14.060478066
"202",199803120001,13
"203",199803120002,13
"204",199803120003,10
"205",199803120004,10
"206",199803120005,9.628609392
"207",199803130001,13.001220852
"208",199803140001,10
"209",199803140002,13.00024417
"210",199803140003,10
"211",199803140004,9.406582644
"212",199803140005,9.06369426
"213",199803160001,10
"214",199803170001,12.001709194
"215",199803170002,3.5
"216",199803170003,4
"217",199803170004,7.00048834
"218",199803180001,10.14012738
"219",199803200001,12.532028584
"220",199803200002,4
"221",199803210001,8.01298303
"222",199803210002,9.616847214
"223",199803220001,10.054373806
"224",199803220002,9
"225",199803230001,12.026455344
"226",199803230002,10.00048834
"227",199803230003,12.00635514
"228",199803230004,12.071347376
"229",199803240001,10
"230",199803250001,12.298304736
"231",199803260001,14.000732512
"232",199803260092,3
"233",199803270001,10
"234",199803270002,9.01273886
"235",199803270003,13.163541876
"236",199803280001,6.56369426
"237",199803290001,9.265032238
"238",199803300001,10.0254777
"239",199803310001,10.040902434
"240",199803310002,14
"241",1.99804e+11,12.072802795
"242",199804010001,4
"243",199804010002,10
"244",199804020001,10.02596604
"245",199804020002,10.001709194
"246",199804020003,12.045319364
"247",199804020004,13
"248",199804030001,9.589904492
"249",199804040001,13.027919404
"250",199804040002,13
"251",199804050001,10.10191082
"252",199804050002,10.065159282
"253",199804060001,14
"254",199804060002,10.083758232
"255",199804060003,10.015424734
"256",199804060004,13
"257",199804060005,13.013471372
"258",199804060006,8.00024417
"259",199804060007,9
"260",199804070001,5.079851506
"261",199804080001,10
"262",199804090001,16.095756138
"263",199804090002,16.083261448
"264",199804090003,12.0254777
"265",199804090004,7
"266",199804090005,7
"267",199804090006,7
"268",199804090007,7
"269",199804090008,12.00048834
"270",199804100001,9.502197534
"271",199804100002,9.51273886
"272",199804130001,4.5
"273",199804130002,9.516401416
"274",199804140001,10
"275",199804140002,13.0254777
"276",199804140003,13.0254777
"277",199804140004,9.00024417
"278",199804150001,8.008069406
"279",199804160001,8.565647624
"280",199804170001,10
"281",199804180001,10.1656051
"282",199804190001,10
"283",199804200001,4
"284",199804200002,9.28025478
"285",199804210001,9.01273886
"286",199804210002,10.073461078
"287",199804220002,11.02866242
"288",199804220003,10.002685874
"289",199804220004,10.3312102
"290",199804230001,10
"291",199804240001,13.06369426
"292",199804240002,13.05095542
"293",199804240003,4.00024417
"294",199804250001,9.12738854
"295",199804260001,10
"296",199804280001,13.01273886
"297",199804280002,13
"298",199804280003,13
"299",199804280004,14
"300",199804290001,4
"301",199804300001,10.0254777
"302",199804300002,10.015913076
"303",199804300003,10
"304",199804300004,9.12738854
"305",199804300005,9.60191082
"306",199804300006,9.51298303
"307",199805010001,10
"308",199805010002,11.095176527
"309",199805010003,4.01273886
"310",199805030001,10
"311",199805030002,4.5
"312",199805030003,9
"313",199805040001,16.2790744
"314",199805040002,12.64012738
"315",199805040003,10
"316",199805050001,10
"317",199805050002,12.05095542
"318",199805050003,12.06369426
"319",199805050004,12.01273886
"320",199805050005,11.50024417
"321",199805050006,15.000747664
"322",199805060001,9.01273886
"323",199805070001,10.01273886
"324",199805070002,9.504883408
"325",199805070003,9.527186894
"326",199805080001,10.0254777
"327",199805080002,10
"328",199805080003,9.536625564
"329",199805090001,9
"330",199805090002,9.51273886
"331",199805090003,8.01298303
"332",199805090004,9.503662556
"333",199805100001,12
"334",199805100002,13
"335",199805100003,10.000976682
"336",199805100004,10.043099968
"337",199805110001,13
"338",199805110002,13
"339",199805110003,13
"340",199805110004,9.00024417
"341",199805120001,9.78049895
"342",199805120002,9.01273886
"343",199805120003,4
"344",199805120004,3.00024417
"345",199805130001,10
"346",199805130002,10.05095542
"347",199805130003,10.001465022
"348",199805140001,9.05095542
