eventid,region,attacktype1,targtype1,natlty1,weaptype1, 
201501100107 ,11,1,2,1004,5,
201501200013 ,11,2,4,1004,5,
201501250027 ,11,1,2,1004,5,
201501260027 ,11,9,14,1004,13,
201501270089 ,11,2,4,1004,5,
201502020092 ,11,9,14,1004,13,
201502100061 ,11,3,4,1004,6,
201502100062 ,11,3,4,1004,6,
201502120054 ,11,3,1,65,6,
201502160090 ,11,6,14,1004,5,
201502160096 ,11,2,14,1004,5,
201502160097 ,11,9,14,1004,13,
201502190012 ,11,2,12,422,5,
201503030083 ,11,6,14,1004,5,
201503030084 ,11,2,14,1004,5,
201504010083 ,11,6,7,422,13,
201504130073 ,11,2,2,1004,5,
201504180065 ,11,3,14,1004,6,
201505110106 ,11,1,14,1004,5,
201506080068 ,11,2,14,1004,5,
201506080069 ,11,2,14,1004,5,
201507020057 ,11,2,14,1004,5,
201507110071 ,11,3,1,1004,6,
201507180017 ,11,2,14,1004,5,
201507290065 ,11,6,14,1004,13,
201508020111 ,11,1,2,1004,5,
201508190014 ,11,1,10,1004,5,
201508210014 ,11,1,2,1004,5,
201508250079 ,11,9,12,422,13,
201508250080 ,11,9,7,422,13,
201508280053 ,11,9,4,1004,13,
201508290053 ,11,9,4,1004,13,
201509140075 ,11,9,4,1004,13,
201509180060 ,11,6,14,1004,13,
201510040063 ,11,3,4,1004,6,
201510200049 ,11,7,14,1004,8,
201510230064 ,11,6,14,213,13,
201510260039 ,11,6,7,422,5,
201511130018 ,11,9,14,1004,13,
201511190026 ,11,2,19,1004,5,
201512110059 ,11,9,3,1004,13,
201512140040 ,11,6,14,1004,13,
201601280056 ,11,6,14,1004,5,
201603040029 ,11,6,10,1004,13,
201603130020 ,11,2,19,1004,6,
201604130035 ,11,2,14,1004,5,
201604190051 ,11,2,3,1004,5,
201604250077 ,11,2,7,422,6,
201606040048 ,11,6,10,1004,5,
201606070056 ,11,2,14,1004,5,
201606110045 ,11,2,7,1004,5,
201606150025 ,11,2,2,1004,5,
201606210058 ,11,6,10,1004,5,
201606250035 ,11,2,14,1004,5,
201607090042 ,11,6,14,213,5,
201608060023 ,11,1,2,1004,5,
201608140040 ,11,2,4,1004,5,
201608140049 ,11,6,14,213,13,
201608190039 ,11,2,14,1004,5,
201608200044 ,11,9,14,1004,13,
201609030048 ,11,2,12,422,5,
201609040092 ,11,6,19,1004,5,
201609060079 ,11,2,12,422,5,
201609060080 ,11,1,2,1004,6,
201609070063 ,11,3,4,1004,6,
201609090048 ,11,2,19,1004,5,
201609090049 ,11,2,1,1004,5,
201609110044 ,11,6,14,229,5,
201609270030 ,11,9,4,1004,13,
201609270031 ,11,9,4,1004,13,
201609300046 ,11,2,14,1004,5,
201610080028 ,11,2,14,1004,5,
201610100048 ,11,6,19,213,6,
201610190053 ,11,2,18,1004,5,
201610190081 ,11,6,14,195,5,
201610210043 ,11,9,4,1004,13,
201610210044 ,11,2,2,1004,6,
201610240041 ,11,6,8,1004,5,
201610240042 ,11,6,8,1004,5,
201610260056 ,11,2,19,213,5,
201610290085 ,11,6,7,422,5,
201610310073 ,11,6,3,1004,5,
201611050055 ,11,2,1,1004,5,
201611060046 ,11,2,4,1004,5,
201611060054 ,11,3,14,1004,6,
201611070052 ,11,6,14,1004,5,
201611080054 ,11,2,4,1004,5,
201611090032 ,11,2,3,1004,5,
201611100026 ,11,2,4,1004,5,
201611130055 ,11,7,14,1004,5,
201611260050 ,11,6,14,1004,5,
201612030026 ,11,9,4,1004,13,
201612040039 ,11,6,2,1004,5,
201612050018 ,11,6,14,195,13,
201612050019 ,11,6,14,195,13,
201612210038 ,11,2,14,1004,5,
201612290017 ,11,2,19,213,5,
201612290043 ,11,1,2,1004,5,
201504120085 ,9,3,3,1003,6,
201512070041 ,9,2,14,1003,5,
201603120059 ,9,7,2,1003,8,
201604030045 ,9,2,14,1003,6,
201608090024 ,9,3,2,1003,6,
201611280037 ,9,7,7,209,8,
201612280050 ,9,3,2,1003,6,
201505120117 ,9,7,10,1002,13,
201501050067 ,8,2,14,233,5,
201501080057 ,8,3,3,233,6,
201501170069 ,8,2,1,233,5,
201501200046 ,8,3,20,233,6,
201501300075 ,8,2,14,233,5,
201501300076 ,8,2,14,233,5,
201502040037 ,8,3,14,233,6,
201502040104 ,8,3,20,233,6,
201502050029 ,8,3,20,233,6,
201502050030 ,8,3,20,233,6,
201502050051 ,8,3,14,233,6,
201502130045 ,8,7,14,233,8,
201502160031 ,8,3,20,233,6,
201502170080 ,8,5,14,233,5,
201502190045 ,8,3,14,233,6,
201502190046 ,8,3,20,233,6,
201502250029 ,8,3,14,233,6,
