eventid,cluster1_dist,cluster2_dist,cluster3_dist,cluster4_dist,cluster5_dist
2.01501E+11,1,2,1,3,2
2.01501E+11,4,2,1,4,2
2.01501E+11,3,2,1,3,2
2.01501E+11,4,3,2,1,4
2.01501E+11,4,2,1,4,2
2.01502E+11,4,3,2,1,4
2.01502E+11,2,2,1,2,2
2.01502E+11,2,2,1,2,2
2.01502E+11,2,2,1,2,2
2.01502E+11,4,2,1,3,3
2.01502E+11,5,2,1,4,3
2.01502E+11,4,3,2,1,4
2.01502E+11,4,2,1,4,2
2.01503E+11,4,2,1,3,3
2.01503E+11,5,2,1,4,3
2.01504E+11,2,2,1,1,2
2.01504E+11,4,2,1,4,2
2.01504E+11,3,2,1,2,3
2.01505E+11,4,2,1,3,3
2.01506E+11,5,2,1,4,3
2.01506E+11,5,2,1,4,3
2.01507E+11,5,2,1,4,3
2.01507E+11,2,2,1,2,2
2.01507E+11,5,2,1,4,3
2.01507E+11,3,2,1,1,3
2.01508E+11,3,2,1,3,2
2.01508E+11,3,2,1,3,2
2.01508E+11,3,2,1,3,2
2.01508E+11,3,3,2,1,3
2.01508E+11,3,3,2,1,3
2.01508E+11,3,3,2,1,3
2.01508E+11,3,3,2,1,3
2.01509E+11,3,3,2,1,3
2.01509E+11,3,2,1,1,3
2.0151E+11,2,2,1,2,2
2.0151E+11,3,2,1,2,3
2.0151E+11,3,2,1,1,3
2.0151E+11,3,2,1,3,2
2.01511E+11,4,3,2,1,4
2.01511E+11,4,2,1,4,2
2.01512E+11,3,3,2,1,2
2.01512E+11,3,2,1,1,3
2.01601E+11,4,2,1,3,3
2.01603E+11,2,2,1,1,2
2.01603E+11,3,2,1,3,2
2.01604E+11,5,2,1,4,3
2.01604E+11,4,2,1,4,1
2.01604E+11,3,2,1,3,2
2.01606E+11,3,2,1,3,2
2.01606E+11,5,2,1,4,3
2.01606E+11,4,2,1,4,2
2.01606E+11,4,2,1,4,2
2.01606E+11,3,2,1,3,2
2.01606E+11,5,2,1,4,3
2.01607E+11,4,2,1,3,3
2.01608E+11,3,2,1,3,2
2.01608E+11,4,2,1,4,2
2.01608E+11,3,2,1,1,3
2.01608E+11,5,2,1,4,3
2.01608E+11,4,3,2,1,4
2.01609E+11,4,2,1,4,2
2.01609E+11,3,2,1,3,2
2.01609E+11,4,2,1,4,2
2.01609E+11,2,2,1,2,2
2.01609E+11,2,2,1,2,2
2.01609E+11,4,2,1,4,2
2.01609E+11,4,2,1,4,2
2.01609E+11,4,2,1,3,3
2.01609E+11,3,3,2,1,3
2.01609E+11,3,3,2,1,3
2.01609E+11,5,2,1,4,3
2.0161E+11,5,2,1,4,3
2.0161E+11,2,2,1,2,2
2.0161E+11,4,2,1,4,2
2.0161E+11,4,2,1,3,3
2.0161E+11,3,3,2,1,3
2.0161E+11,3,2,1,3,2
2.0161E+11,3,2,1,3,2
2.0161E+11,3,2,1,3,2
2.0161E+11,4,2,1,4,2
2.0161E+11,3,2,1,3,2
2.0161E+11,3,2,1,3,1
2.01611E+11,4,2,1,4,2
2.01611E+11,4,2,1,4,2
2.01611E+11,3,2,1,2,3
2.01611E+11,4,2,1,3,3
2.01611E+11,4,2,1,4,2
2.01611E+11,4,2,1,4,1
2.01611E+11,4,2,1,4,2
2.01611E+11,4,2,1,3,3
2.01611E+11,4,2,1,3,3
2.01612E+11,3,3,2,1,3
2.01612E+11,3,2,1,3,2
2.01612E+11,3,2,1,1,3
2.01612E+11,3,2,1,1,3
2.01612E+11,5,2,1,4,3
2.01612E+11,4,2,1,4,2
